column 1	Pathways of a reaction	EC-Number	Object ID
(S)-4-amino-5-oxopentanoate + tRNAglu + NADP+  <-  L-glutamyl-[tRNAGlu] + NADPH + H+	tetrapyrrole biosynthesis I (from glutamate)	EC-1.2.1.70	GLUTRNAREDUCT-RXN
L-glutamate 5-semialdehyde + NADP+ + phosphate  <-  gamma-L-glutamyl 5-phosphate + NADPH + H+	L-ornithine biosynthesis II // L-proline biosynthesis I (from L-glutamate) // L-citrulline biosynthesis	EC-1.2.1.41	GLUTSEMIALDEHYDROG-RXN
D-glycerate + ATP  ->  3-phospho-D-glycerate + ADP + H+	photorespiration I	EC-2.7.1.31	GLY3KIN-RXN
sn-glycerol 3-phosphate + NAD(P)+  <-  glycerone phosphate + NAD(P)H + H+	CDP-diacylglycerol biosynthesis II // CDP-diacylglycerol biosynthesis I	EC-1.1.1.94	GLYC3PDEHYDROGBIOSYN-RXN
D-glycerate + NAD+  <-->  3-hydroxypyruvate + NADH + H+	photorespiration I	EC-1.1.1.29	GLYCERATE-DEHYDROGENASE-RXN
glycerol + ATP  ->  sn-glycerol 3-phosphate + ADP + H+	glycerol degradation I	EC-2.7.1.30	GLYCEROL-KIN-RXN
glycine + 2-oxoglutarate  <-->  glyoxylate + L-glutamate	photorespiration I // glycine biosynthesis	EC-2.6.1.4	GLYCINE-AMINOTRANSFERASE-RXN
ADP-alpha-D-glucose + a (1->4)-alpha-D-glucan  <-->  ADP + a (1->4)-alpha-D-glucan	starch biosynthesis	EC-2.4.1.21	GLYCOGENSYN-RXN
glycolate + NAD+  =  glyoxylate + NADH + H+		EC-1.1.1.26	GLYCOLATE-REDUCTASE-RXN
"L-serine + a tetrahydrofolate  <-->  glycine + a 5,10-methylenetetrahydrofolate + H2O"	photorespiration I // folate transformations II (plants) // dTMP <i>de novo</i> biosynthesis (mitochondrial) // folate polyglutamylation // glycine biosynthesis // glycine degradation	EC-2.1.2.1	GLYOHMETRANS-RXN
(R)-S-lactoylglutathione  <-  methylglyoxal + glutathione		EC-4.4.1.5	GLYOXI-RXN
(R)-S-lactoylglutathione + H2O  ->  (R)-lactate + glutathione + H+		EC-3.1.2.6	GLYOXII-RXN
(R)-lactate + H+  <-  methylglyoxal + H2O		EC-4.2.1.130	GLYOXIII-RXN
glycolate + NADP+  <-  glyoxylate + NADPH + H+		EC-1.1.1.79	GLYOXYLATE-REDUCTASE-NADP+-RXN
5-phospho-beta-D-ribosylamine + ATP + glycine  ->  ADP + N1-(5-phospho-beta-D-ribosyl)glycinamide + phosphate + H+	5-aminoimidazole ribonucleotide biosynthesis I	EC-6.3.4.13	GLYRIBONUCSYN-RXN
ATP + dGMP  <-->  ADP + dGDP	purine deoxyribonucleosides salvage	EC-2.7.4.13 // EC-2.7.4.12	GMKALT-RXN
XMP + L-glutamine + ATP + H2O  ->  L-glutamate + GMP + AMP + diphosphate + 2 H+	guanosine ribonucleotides <i>de novo</i> biosynthesis	EC-6.3.5.2	GMP-SYN-GLUT-RXN
XMP + ammonia + ATP  ->  GMP + AMP + diphosphate + H+			GMP-SYN-NH3-RXN
2-phosphoglycolate + H2O  ->  glycolate + phosphate	photorespiration I	EC-3.1.3.18	GPH-RXN
prenyl diphosphate + 3-methylbut-3-en-1-yl diphosphate  ->  geranyl diphosphate + diphosphate	"geranyl diphosphate biosynthesis // linalool biosynthesis I // (3<i>R</i>)-linalool biosynthesis // <i>trans, trans</i>-farnesyl diphosphate biosynthesis // (3<i>S</i>)-linalool biosynthesis"	EC-2.5.1.1	GPPSYN-RXN
(S)-4-amino-5-oxopentanoate  ->  5-aminolevulinate	tetrapyrrole biosynthesis I (from glutamate)	EC-5.4.3.8	GSAAMINOTRANS-RXN
"GTP + H2O  ->  formate + 7,8-dihydroneopterin 3'-triphosphate + H+"	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // tetrahydrofolate biosynthesis II	EC-3.5.4.16	GTP-CYCLOHYDRO-I-RXN
"GTP + 4 H2O  ->  2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + formate + 2 phosphate + 3 H+"	flavin biosynthesis I (bacteria and plants)	EC-3.5.4.25	GTP-CYCLOHYDRO-II-RXN
guanine + H+ + H2O  ->  xanthine + ammonium	guanosine nucleotides degradation II // Organic Nitrogen Assimilation	EC-3.5.4.3	GUANINE-DEAMINASE-RXN
guanosine + H+ + H2O  ->  ammonium + xanthosine	guanosine nucleotides degradation I	EC-3.5.4.15	GUANOSINE-DEAMINASE-RXN
guanosine + ATP  ->  GMP + ADP + H+	guanine and guanosine salvage III	EC-2.7.1.73	GUANOSINEKIN-RXN
GMP + diphosphate  <-  guanine + 5-phospho-alpha-D-ribose 1-diphosphate	guanine and guanosine salvage II	EC-2.4.2.8	GUANPRIBOSYLTRAN-RXN
ATP + GMP  <-->  ADP + GDP	guanosine ribonucleotides <i>de novo</i> biosynthesis	EC-2.7.4.8	GUANYL-KIN-RXN
"D-erythro-7,8-dihydroneopterin  ->  glycolaldehyde + 6-(hydroxymethyl)-7,8-dihydropterin"	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // tetrahydrofolate biosynthesis II	EC-4.1.2.25	H2NEOPTERINALDOL-RXN
"7,8-dihydroneopterin 3'-triphosphate + H2O  ->  7,8-dihydroneopterin 3'-phosphate + diphosphate + H+"	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // tetrahydrofolate biosynthesis II	EC-3.6.1.67	H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN
"6-(hydroxymethyl)-7,8-dihydropterin + ATP  ->  (7,8-dihydropterin-6-yl)methyl diphosphate + AMP + H+"	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // tetrahydrofolate biosynthesis II	EC-2.7.6.3	H2PTERIDINEPYROPHOSPHOKIN-RXN
"(7,8-dihydropterin-6-yl)methyl diphosphate + 4-aminobenzoate  ->  7,8-dihydropteroate + diphosphate"	tetrahydrofolate biosynthesis II	EC-2.5.1.15	H2PTEROATESYNTH-RXN
a D-hexose + ATP  ->  D-hexose 6-phosphate + ADP + H+		EC-2.7.1.1	HEXOKINASE-RXN
histidinal + NAD+ + H2O  ->  L-histidine + NADH + 2 H+	L-histidine biosynthesis		HISTALDEHYD-RXN
L-histidinol phosphate + 2-oxoglutarate  <-->  3-(imidazol-4-yl)-2-oxopropyl phosphate + L-glutamate	L-histidine biosynthesis	EC-2.6.1.9	HISTAMINOTRANS-RXN
1-(5-phospho-beta-D-ribosyl)-AMP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	L-histidine biosynthesis	EC-3.5.4.19	HISTCYCLOHYD-RXN
L-histidinol phosphate + H2O  ->  histidinol + phosphate	L-histidine biosynthesis	EC-3.1.3.15	HISTIDPHOS-RXN
histidinol + NAD+  <-->  histidinal + NADH + H+	L-histidine biosynthesis		HISTOLDEHYD-RXN
1-(5-phospho-beta-D-ribosyl)-ATP + H2O  ->  1-(5-phospho-beta-D-ribosyl)-AMP + diphosphate + H+	L-histidine biosynthesis	EC-3.6.1.31	HISTPRATPHYD-RXN
L-homocysteine + a 5-methyltetrahydrofolate  ->  L-methionine + a tetrahydrofolate	folate transformations II (plants)	EC-2.1.1.13	HOMOCYSMETB12-RXN
homogentisate + dioxygen  ->  4-maleyl-acetoacetate + H+	L-tyrosine degradation I	EC-1.13.11.5	HOMOGENTISATE-12-DIOXYGENASE-RXN
L-homoserine + NAD(P)+  <-  L-aspartate 4-semialdehyde + NAD(P)H + H+	L-homoserine biosynthesis	EC-1.1.1.3	HOMOSERDEHYDROG-RXN
L-homoserine + ATP  ->  O-phospho-L-homoserine + ADP + H+	L-methionine biosynthesis II // L-threonine biosynthesis	EC-2.7.1.39	HOMOSERKIN-RXN
(S)-3-hydroxy-3-methylglutaryl-CoA  ->  acetoacetate + acetyl-CoA	L-leucine degradation I	EC-4.1.3.4	HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN
acetyl-CoA + acetoacetyl-CoA + H2O  ->  (S)-3-hydroxy-3-methylglutaryl-CoA + coenzyme A + H+	mevalonate pathway I (eukaryotes and bacteria)	EC-2.3.3.10	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN
D-glycerate + NAD(P)+  ->  3-hydroxypyruvate + NAD(P)H + H+	L-serine biosynthesis II	EC-1.1.1.81	HYDROXYPYRUVATE-REDUCTASE-RXN
IMP + diphosphate  <-  hypoxanthine + 5-phospho-alpha-D-ribose 1-diphosphate		EC-2.4.2.8	HYPOXANPRIBOSYLTRAN-RXN
"1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate + H+  ->  (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + CO2 + H2O"	L-tryptophan biosynthesis	EC-4.1.1.48	IGPSYN-RXN
D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate  ->  3-(imidazol-4-yl)-2-oxopropyl phosphate + H2O	L-histidine biosynthesis	EC-4.2.1.19	IMIDPHOSDEHYD-RXN
IMP + NAD+ + H2O  <-->  XMP + NADH + H+	guanosine ribonucleotides <i>de novo</i> biosynthesis // adenosine nucleotides degradation I	EC-1.1.1.205	IMP-DEHYDROG-RXN
IMP + H2O  <-->  5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	inosine-5'-phosphate biosynthesis II	EC-3.5.4.10	IMPCYCLOHYDROLASE-RXN
(indol-3-yl)acetaldehyde + dioxygen + H2O  ->  (indol-3-yl)acetate + hydrogen peroxide + H+		EC-1.2.3.7	INDOLE-3-ACETALDEHYDE-OXIDASE-RXN
diphosphate + H2O  ->  2 phosphate + H+		EC-3.6.1.1	INORGPYROPHOSPHAT-RXN
inosine + H2O  ->  D-ribofuranose + hypoxanthine	adenosine nucleotides degradation I	EC-3.2.2.2	INOSINE-NUCLEOSIDASE-RXN
3-methylbut-3-en-1-yl diphosphate  <-->  prenyl diphosphate	methylerythritol phosphate pathway I // methylerythritol phosphate pathway II // mevalonate pathway I (eukaryotes and bacteria)	EC-5.3.3.2	IPPISOM-RXN
chorismate  <-->  isochorismate	"2-carboxy-1,4-naphthoquinol biosynthesis"	EC-5.4.4.2	ISOCHORSYN-RXN
D-threo-isocitrate  ->  glyoxylate + succinate	glyoxylate cycle	EC-4.1.3.1	ISOCIT-CLEAV-RXN
D-threo-isocitrate + NADP+  <-->  2-oxoglutarate + CO2 + NADPH		EC-1.1.1.42	ISOCITDEH-RXN
D-threo-isocitrate + NAD+  ->  2-oxoglutarate + CO2 + NADH	TCA cycle II (plants and fungi)	EC-1.1.1.286 // EC-1.1.1.41	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
3-methylbut-3-en-1-yl diphosphate + 2 oxidized ferredoxin [iron-sulfur] cluster + H2O  <-  (E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + 2 reduced ferredoxin [iron-sulfur] cluster + 2 H+	methylerythritol phosphate pathway II	EC-1.17.7.4	ISPH2-RXN
3-deoxy-D-manno-octulosonate 8-phosphate + H2O  ->  3-deoxy-alpha-D-manno-2-octulosonate + phosphate	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	EC-3.1.3.45	KDO-8PPHOSPHAT-RXN
D-arabinofuranose 5-phosphate + phosphoenolpyruvate + H2O  ->  3-deoxy-D-manno-octulosonate 8-phosphate + phosphate	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	EC-2.5.1.55	KDO-8PSYNTH-RXN
"a 2,3,4-saturated fatty acyl CoA + acetyl-CoA  <-  a 2,3,4-saturated 3-oxoacyl-CoA + coenzyme A"	fatty acid &beta;-oxidation II (plant peroxisome)	EC-2.3.1.16	KETOACYLCOATHIOL-RXN
L-cysteine + hydrogen cyanide  ->  hydrogen sulfide + 3-cyano-L-alanine + H+	cyanide degradation // cyanide detoxification I	EC-4.4.1.9	L-3-CYANOALANINE-SYNTHASE-RXN
beta-L-arabinopyranose + ATP  ->  beta-L-arabinose 1-phosphate + ADP + H+	UDP-&beta;-L-arabinose biosynthesis II (from &beta;-L-arabinose)	EC-2.7.1.46	L-ARABINOKINASE-RXN
L-aspartate + dioxygen  ->  2-iminosuccinate + hydrogen peroxide + H+	NAD <i>de novo</i> biosynthesis I	EC-1.4.3.16	L-ASPARTATE-OXID-RXN
<small>L</small>-gulonolactone oxidase			L-GULONOLACTONE-OXIDASE-RXN
"5-amino-6-(D-ribitylamino)uracil + 1-deoxy-L-glycero-tetrulose 4-phosphate  ->  6,7-dimethyl-8-(1-D-ribityl)lumazine + phosphate + H+ + 2 H2O"	flavin biosynthesis I (bacteria and plants)	EC-2.5.1.78	LUMAZINESYN-RXN
(S)-malate + NAD+  <-->  oxaloacetate + NADH + H+	"gluconeogenesis I // TCA cycle II (plants and fungi) // glyoxylate cycle // C4 photosynthetic carbon assimilation cycle, NAD-ME type"	EC-1.1.1.37	MALATE-DEH-RXN
(S)-malate + NADP+  <-->  oxaloacetate + NADPH + H+	"C4 photosynthetic carbon assimilation cycle, NADP-ME type // C4 photosynthetic carbon assimilation cycle, PEPCK type"	EC-1.1.1.82	MALATE-DEHYDROGENASE-NADP+-RXN
4-maleyl-acetoacetate  ->  4-fumaryl-acetoacetate	L-tyrosine degradation I	EC-5.2.1.2	MALEYLACETOACETATE-ISOMERASE-RXN
(S)-malate + NADP+  ->  pyruvate + CO2 + NADPH	"C4 photosynthetic carbon assimilation cycle, NADP-ME type // gluconeogenesis I // C4 photosynthetic carbon assimilation cycle, PEPCK type"	EC-1.1.1.40	MALIC-NADP-RXN
malonyl-CoA + acyl-carrier protein  ->  coenzyme A + malonyl-[acp]	fatty acid biosynthesis initiation (type II)	EC-2.3.1.39	MALONYL-COA-ACP-TRANSACYL-RXN
malonyl-CoA + H+  ->  acetyl-CoA + CO2		EC-4.1.1.9	MALONYL-COA-DECARBOXYLASE-RXN
acetyl-CoA + glyoxylate + H2O  ->  (S)-malate + coenzyme A + H+	glyoxylate cycle	EC-2.3.3.9	MALSYN-RXN
(R)-mandelonitrile  ->  hydrogen cyanide + benzaldehyde		EC-4.1.2.10	MANDELONITRILE-LYASE-RXN
D-mannopyranose 6-phosphate  <-  beta-D-fructofuranose 6-phosphate	GDP-mannose biosynthesis // mannitol biosynthesis	EC-5.3.1.8	MANNPISOM-RXN
isobutyryl-CoA dehydrogenase	L-valine degradation I	EC-1.3.8.5	MEPROPCOA-FAD-RXN
"a 5,10-methenyltetrahydrofolate + H2O  <-->  an N10-formyltetrahydrofolate + H+"	"formaldehyde oxidation VII (THF pathway) // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate // folate transformations II (plants) // tetrahydrofolate biosynthesis II"	EC-3.5.4.9	METHENYLTHFCYCLOHYDRO-RXN
L-methionine + H2O  ->  methanethiol + 2-oxobutanoate + ammonium	L-methionine degradation II	EC-4.4.1.11	METHIONINE-GAMMA-LYASE-RXN
L-methionine + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + S-methyl-L-methionine	S-methyl-L-methionine cycle	EC-2.1.1.12	METHIONINE-S-METHYLTRANSFERASE-RXN
propanoyl-CoA + acetyl-CoA  <-->  2-methylacetoacetyl-CoA + coenzyme A	L-isoleucine degradation I	EC-2.3.1.16	METHYLACETOACETYLCOATHIOL-RXN
methylacrylyl-CoA hydratase	L-valine degradation I	EC-4.2.1.150	METHYLACYLYLCOA-HYDROXY-RXN
3-methylcrotonyl-CoA + hydrogen carbonate + ATP  ->  3-methylglutaconyl-CoA + ADP + phosphate + H+	L-leucine degradation I	EC-6.4.1.4	METHYLCROTONYL-COA-CARBOXYLASE-RXN
"a 5,10-methylenetetrahydrofolate + NADP+  <-->  a 5,10-methenyltetrahydrofolate + NADPH"	formaldehyde oxidation VII (THF pathway) // folate transformations II (plants)	EC-1.5.1.5	METHYLENETHFDEHYDROG-NADP-RXN
(S)-3-hydroxy-3-methylglutaryl-CoA  <-  3-methylglutaconyl-CoA + H2O	L-leucine degradation I	EC-4.2.1.18	METHYLGLUTACONYL-COA-HYDRATASE-RXN
S-methyl-5'-thioadenosine + H2O  ->  5-(methylsulfanyl)-D-ribose + adenine	<i>S</i>-methyl-5'-thioadenosine degradation I	EC-3.2.2.9 // EC-3.2.2.16	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN
(R)-mevalonate + ATP  ->  (R)-5-phosphomevalonate + ADP + H+	mevalonate pathway I (eukaryotes and bacteria)	EC-2.7.1.36	MEVALONATE-KINASE-RXN
S-methyl-L-methionine + L-homocysteine  ->  2 L-methionine + H+	S-methyl-L-methionine cycle	EC-2.1.1.10	MMUM-RXN
myo-inositol + ATP  ->  1D-myo-inositol 3-monophosphate + ADP + H+	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	EC-2.7.1.64	MYO-INOSITOL-1-KINASE-RXN
D-glucopyranose 6-phosphate  ->  1D-myo-inositol 3-monophosphate	<i>myo</i>-inositol biosynthesis // 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	EC-5.5.1.4	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN
1D-myo-inositol 3-monophosphate + H2O  ->  myo-inositol + phosphate	<i>myo</i>-inositol biosynthesis	EC-3.1.3.25	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
N-acetyl-L-glutamate 5-semialdehyde + NADP+ + phosphate  <-  N-acetylglutamyl-phosphate + NADPH + H+	L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)	EC-1.2.1.38	N-ACETYLGLUTPREDUCT-RXN
acetyl-CoA + L-glutamate  ->  N-acetyl-L-glutamate + coenzyme A + H+	L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)	EC-2.3.1.1	N-ACETYLTRANSFER-RXN
N-carbamoylputrescine + 2 H+ + H2O  ->  putrescine + CO2 + ammonium	superpathway of polyamine biosynthesis // putrescine biosynthesis II	EC-3.5.1.53	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN
ATP + NAD+  ->  ADP + NADP+ + H+	NAD(P)/NADPH interconversion // NADP biosynthesis	EC-2.7.1 // EC-2.7.1.23	NAD-KIN-RXN
ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+	NAD <i>de novo</i> biosynthesis I // NAD salvage pathway V (PNC V cycle)	EC-6.3.5.1	NAD-SYNTH-GLN-RXN
ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+	NAD <i>de novo</i> biosynthesis I	EC-6.3.1.5	NAD-SYNTH-NH3-RXN
NADH[mitochondrial lumen] + a ubiquinone[mitochondrial inner membrane] + 5 H+[mitochondrial lumen]  <-->  NAD+[mitochondrial lumen] + a ubiquinol[mitochondrial inner membrane] + 4 H+[mitochondrial intermembrane space]	NAD(P)/NADPH interconversion // aerobic respiration III (alternative oxidase pathway) // aerobic respiration I (cytochrome c)	EC-7.1.1.2	NADH-DEHYDROG-A-RXN
ATP + NADH  ->  ADP + NADPH + H+	NAD(P)/NADPH interconversion	EC-2.7.1 // EC-2.7.1.86	NADH-KINASE-RXN
NAD+ + H2O  ->  ADP-D-ribose + nicotinamide + H+		EC-3.2.2.6	NADNUCLEOSID-RXN
NAD+ + H2O  ->  AMP + beta-nicotinamide D-ribonucleotide + 2 H+		EC-3.6.1.22	NADPYROPHOSPHAT-RXN
"4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + H+  ->  1,4-dihydroxy-2-naphthoyl-CoA + H2O"	"2-carboxy-1,4-naphthoquinol biosynthesis"	EC-4.1.3.36	NAPHTHOATE-SYN-RXN
(2S)-naringenin + 2-oxoglutarate + dioxygen  ->  (+)-dihydrokaempferol + succinate + CO2	flavonoid biosynthesis // flavonoid biosynthesis (in equisetum)	EC-1.14.11.9	NARINGENIN-3-DIOXYGENASE-RXN
(E)-4-coumaroyl-CoA + 3 malonyl-CoA + 3 H+  ->  naringenin chalcone + 3 CO2 + 4 coenzyme A	flavonoid biosynthesis // flavonoid biosynthesis (in equisetum)	EC-2.3.1.74	NARINGENIN-CHALCONE-SYNTHASE-RXN
beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	NAD <i>de novo</i> biosynthesis I // NAD salvage pathway V (PNC V cycle)	EC-2.7.7.18	NICONUCADENYLYLTRAN-RXN
nicotinamide + H2O  ->  ammonium + nicotinate	NAD salvage pathway V (PNC V cycle)	EC-3.5.1.19	NICOTINAMID-RXN
nicotinate + 5-phospho-alpha-D-ribose 1-diphosphate + ATP + H2O  ->  beta-nicotinate D-ribonucleotide + ADP + diphosphate + phosphate	NAD salvage pathway V (PNC V cycle)	EC-6.3.4.21	NICOTINATEPRIBOSYLTRANS-RXN
nitrite + NAD+ + H2O  <-  nitrate + NADH + H+	nitrate reduction II (assimilatory) // Inorganic Nitrogen Assimilation	EC-1.7.1.1	NITRATE-REDUCTASE-NADH-RXN
2-succinylbenzoate + coenzyme A + ATP  ->  4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + AMP + diphosphate	"2-carboxy-1,4-naphthoquinol biosynthesis"	EC-6.2.1.26	O-SUCCINYLBENZOATE-COA-LIG-RXN
"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate  ->  2-succinylbenzoate + H2O"	"2-carboxy-1,4-naphthoquinol biosynthesis"	EC-4.2.1.113	O-SUCCINYLBENZOATE-COA-SYN-RXN
"a 2,3,4-saturated (3S)-3-hydroxyacyl-CoA + NAD+  <-->  a 2,3,4-saturated 3-oxoacyl-CoA + NADH + H+"	fatty acid &beta;-oxidation II (plant peroxisome)	EC-1.1.1.35	OHACYL-COA-DEHYDROG-RXN
4 porphobilinogen + H2O  ->  preuroporphyrinogen + 4 ammonium	tetrapyrrole biosynthesis I (from glutamate)	EC-2.5.1.61	OHMETHYLBILANESYN-RXN
ATP + 4-amino-2-methyl-5-pyrimidinemethanol  ->  ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	hydroxymethylpyrimidine salvage // thiamine diphosphate salvage IV (yeast)	EC-2.7.1.49	OHMETPYRKIN-RXN
L-ornithine + carbamoyl phosphate  <-->  L-citrulline + phosphate + H+	L-arginine biosynthesis I (via L-ornithine) // L-citrulline degradation // L-citrulline biosynthesis // L-arginine biosynthesis II (acetyl cycle) // ornithine-citrulline shuttle // Organic Nitrogen Assimilation	EC-2.1.3.3	ORNCARBAMTRANSFER-RXN
L-ornithine + H+  ->  putrescine + CO2	putrescine biosynthesis III	EC-4.1.1.17	ORNDECARBOX-RXN
Ornithine--oxo-glutarate aminotransferase	L-proline biosynthesis III (from L-ornithine) // L-arginine degradation I (arginase pathway) // L-ornithine biosynthesis II // L-arginine degradation VI (arginase 2 pathway) // L-citrulline biosynthesis	EC-2.6.1.13	ORNITHINE-GLU-AMINOTRANSFERASE-RXN
Ornithine--oxo-glutarate aminotransferase	Organic Nitrogen Assimilation	EC-2.6.1.13	ORNITHINE-GLU-AMINOTRANSFORASE-RXN
orotidine 5'-phosphate + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + orotate	UMP biosynthesis I	EC-2.4.2.10	OROPRIBTRANS-RXN
orotidine 5'-phosphate + H+  ->  UMP + CO2	UMP biosynthesis I	EC-4.1.1.23	OROTPDECARB-RXN
oxaloacetate + H+  ->  pyruvate + CO2		EC-4.1.1.112	OXALODECARB-RXN
(R)-4'-phosphopantothenoyl-L-cysteine + H+  ->  CO2 + 4'-phosphopantetheine	coenzyme A biosynthesis I (bacteria)	EC-4.1.1.36	P-PANTOCYSDECARB-RXN
(R)-4'-phosphopantothenate + L-cysteine + CTP  ->  (R)-4'-phosphopantothenoyl-L-cysteine + CMP + diphosphate + H+	coenzyme A biosynthesis I (bacteria)	EC-6.3.2.5	P-PANTOCYSLIG-RXN
chorismate + L-glutamine  ->  4-amino-4-deoxychorismate + L-glutamate	4-aminobenzoate biosynthesis I // tetrahydrofolate biosynthesis II	EC-2.6.1.85	PABASYN-RXN
palmitoyl-CoA + H2O  ->  palmitate + coenzyme A + H+	sporopollenin precursors biosynthesis // cutin biosynthesis // suberin monomers biosynthesis	EC-3.1.2.2	PALMITOYL-COA-HYDROLASE-RXN
ATP + 4'-phosphopantetheine + H+  ->  3'-dephospho-CoA + diphosphate	coenzyme A biosynthesis I (bacteria)	EC-2.7.7.3	PANTEPADENYLYLTRAN-RXN
beta-alanine + (R)-pantoate + ATP  ->  (R)-pantothenate + AMP + diphosphate + H+	phosphopantothenate biosynthesis I	EC-6.3.2.1	PANTOATE-BETA-ALANINE-LIG-RXN
(R)-pantothenate + ATP  ->  (R)-4'-phosphopantothenate + ADP + H+	phosphopantothenate biosynthesis I	EC-2.7.1.33	PANTOTHENATE-KIN-RXN
oxaloacetate + phosphate  <-  phosphoenolpyruvate + hydrogen carbonate	"CO<sub>2</sub> fixation into oxaloacetate (anaplerotic) // C4 photosynthetic carbon assimilation cycle, NADP-ME type // C4 photosynthetic carbon assimilation cycle, NAD-ME type // C4 photosynthetic carbon assimilation cycle, PEPCK type"	EC-4.1.1.31	PEPCARBOX-RXN
pyruvate + ATP  <-  phosphoenolpyruvate + ADP + H+	glycolysis I (from glucose 6-phosphate) // glycolysis IV // Rubisco shunt	EC-2.7.1.40	PEPDEPHOS-RXN
pyruvate + ATP + H2O  <-->  phosphoenolpyruvate + AMP + phosphate + 2 H+	glycolysis I (from glucose 6-phosphate) // gluconeogenesis I	EC-2.7.9.2	PEPSYNTH-RXN
alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate	starch biosynthesis // glycolysis I (from glucose 6-phosphate) // sucrose biosynthesis I (from photosynthesis) // GDP-mannose biosynthesis // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II // sucrose degradation III (sucrose invertase) // gluconeogenesis I	EC-5.3.1.9	PGLUCISOM-RXN
3-phospho-D-glycerate + NAD+  <-->  3-phosphooxypyruvate + NADH + H+	L-serine biosynthesis I	EC-1.1.1.95	PGLYCDEHYDROG-RXN
L-phenylalanine  ->  trans-cinnamate + ammonium	"rosmarinic acid biosynthesis I // phenylpropanoid biosynthesis, initial reactions // avenanthramide biosynthesis // suberin monomers biosynthesis"	EC-4.3.1.25 // EC-4.3.1.24	PHENYLALANINE-AMMONIA-LYASE-RXN
3-phospho-D-glycerate + ATP  <-->  3-phospho-D-glyceroyl phosphate + ADP	glycolysis I (from glucose 6-phosphate) // sucrose biosynthesis I (from photosynthesis) // glycolysis IV // Calvin-Benson-Bassham cycle // gluconeogenesis I	EC-2.7.2.3	PHOSGLYPHOS-RXN
alpha-D-mannose 1-phosphate  <-  D-mannopyranose 6-phosphate	GDP-mannose biosynthesis	EC-5.4.2.8	PHOSMANMUT-RXN
alpha-D-glucopyranose 1-phosphate  <-->  D-glucopyranose 6-phosphate	starch biosynthesis // D-galactose degradation I (Leloir pathway) // dTDP-&beta;-L-rhamnose biosynthesis // UDP-&alpha;-D-glucose biosynthesis	EC-5.4.2.2	PHOSPHOGLUCMUT-RXN
(R)-5-phosphomevalonate + ATP  ->  (R)-mevalonate diphosphate + ADP	mevalonate pathway I (eukaryotes and bacteria)	EC-2.7.4.2	PHOSPHOMEVALONATE-KINASE-RXN
"D-ribulose 5-phosphate + ATP  ->  D-ribulose-1,5-bisphosphate + ADP + H+"	Calvin-Benson-Bassham cycle // Rubisco shunt	EC-2.7.1.19	PHOSPHORIBULOKINASE-RXN
Q-cycle	cyclic electron flow // photosynthesis light reactions I (plastocyanin)	EC-7.1.1.6	PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN
